ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT1G07473,Candidate,"[65, 49]",114,61,53,0.5388145407456743,0.2601322223469049,0.9776289778535175,0.0018797211705106882
AT1G07480,Candidate,"[65, 49]",114,75,39,0.4469413290854086,0.27128231457850865,0.9436824666262433,0.005802125652724629
AT1G07500,Candidate,"[65, 49]",114,64,50,0.48737223810169367,0.26413572749450515,0.9781978948007283,0.004678453977238127
AT1G07510,Candidate,"[65, 49]",114,80,34,0.4146589818024279,0.27455705082236703,0.9597543416900995,0.008635324249380983
AT1G07520,Candidate,"[65, 49]",114,91,23,0.39103570807238963,0.21574921749732665,0.9094149186017862,0.0024392248923688353
AT1G07530,Candidate,"[65, 49]",114,73,41,0.4665984987660318,0.27929742233886856,0.974527086978637,0.0022758619651113924
AT1G07570,Candidate,"[65, 49]",114,72,42,0.4643261697382075,0.24045041742249945,0.9112206119537781,0.04300076927738244
AT1G07590,Candidate,"[65, 49]",114,74,40,0.40907287942380616,0.21374885129133533,0.853328176519142,0.018803728247727677
AT1G07610,Candidate,"[65, 49]",114,74,40,0.28922383108574345,0.1811524357880399,0.7887784748145754,0.005410484576938268
AT1G07615,Candidate,"[65, 49]",114,90,24,0.46730683236328324,0.2514887499191864,0.9112323935848572,0.0041598272237519255
AT1G07620,Candidate,"[65, 49]",114,66,48,0.23718843569218548,0.1527909573310487,0.638129077559126,2.8332952825882833e-05
AT1G07630,Candidate,"[65, 49]",114,86,28,0.34038801546609065,0.2041094189959106,0.8329954195225006,0.0017224295903299916
AT1G07640,Candidate,"[65, 49]",114,47,67,0.24321986941936513,0.1563320075750885,0.6434771874149091,0.00011147185700470302
AT1G07645,Candidate,"[65, 49]",114,69,45,0.4605169211860438,0.27860106035255994,0.9734955139653315,0.007902834465226665
AT1G07650,Candidate,"[65, 49]",114,83,31,0.3665129253151817,0.24228700656903934,0.8671892938331063,0.00416205668617355
AT1G07660,Candidate,"[65, 49]",114,98,16,0.3334546813544188,0.21082311034572593,0.7931397846972839,0.007176659073826922
AT1G07670,Candidate,"[65, 49]",114,63,51,0.27291759177779307,0.21195231212022775,0.9287789257206177,0.00048502145529734743
AT1G07700,Candidate,"[65, 49]",114,63,51,0.3811431188315779,0.22467669122616218,0.874178273106854,0.0016325382330965531
AT1G07705,Candidate,"[65, 49]",114,69,45,0.46918679269887936,0.249661831386464,0.9027333153295518,0.02300868774797791
