ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT2G01830,Dormancy,"[3, 2]",917,903,14,0.8842782469214795,0.030689584548345483,0.9794560242925042,0.8400054576887666
AT2G01870,Candidate,"[1, 0]",1,1,0,0.8575856679656232,0.0,0.8575856679656232,0.8575856679656232
AT2G01910,Candidate,"[9, 11]",20,17,3,0.9080398822915307,0.03526904648944847,0.9605869524858814,0.8501351731347816
AT2G01930,Candidate,"[6, 0]",6,6,0,0.8696305561959349,0.011049479162476365,0.8928949838783097,0.8600565333426714
AT2G01940,Candidate,"[5, 0]",5,5,0,0.8886956821008709,0.020381667440690282,0.9110213439841163,0.8634334469010595
AT2G01970,Candidate,"[5, 4]",9,8,1,0.8933963539359849,0.02653957416034971,0.9365447852961988,0.8549952609413219
AT2G01980,Candidate,"[2, 2]",4,4,0,0.8771572603824335,0.02153132823898098,0.9037048435468277,0.8451847260584638
AT2G02040,Candidate,"[7, 9]",16,13,3,0.8927593761027344,0.03981866068293224,0.9581518892062593,0.8415761377572675
AT2G02050,Candidate,"[3, 1]",4,4,0,0.8740974674040127,0.018127387109551828,0.9013946882384417,0.8503725904974629
AT2G02080,Candidate,"[3, 1]",4,4,0,0.9099063909412888,0.03263078045878833,0.9493651828919413,0.8729812761178466
AT2G02090,Candidate,"[1, 3]",4,4,0,0.8794284826718284,0.025241274902363175,0.9126136221056038,0.8474332289678549
AT2G02100,Candidate,"[12, 15]",27,21,6,0.898901896935678,0.029484400579344473,0.9519211948119722,0.8462647790846717
AT2G02120,Candidate,"[10, 6]",16,15,1,0.9024036231851961,0.04024940097096373,0.9831957551856866,0.8575506336120242
AT2G02130,Candidate,"[7, 8]",15,15,0,0.9024421851449749,0.042366636606187245,0.9773519568248562,0.8400788850171307
AT2G02150,Candidate,"[3, 2]",5,3,2,0.861696208230662,0.009326467052671442,0.8727242804286989,0.8506933790213105
AT2G02160,Candidate,"[9, 6]",15,15,0,0.8825952068619008,0.02517062466022916,0.9335385913319285,0.8413273927485286
AT2G02170,Candidate,"[7, 7]",14,14,0,0.8935788759807174,0.0325975014380701,0.9526441374167406,0.84195929923058
AT2G02180,Candidate,"[9, 4]",13,13,0,0.9055240099469694,0.03563773855943886,0.9670764866738115,0.8550985586713293
AT2G02220,Candidate,"[4, 4]",8,7,1,0.8952196746891009,0.02146422989752655,0.9339388429039792,0.8675358065998747
AT2G02230,Candidate,"[9, 9]",18,12,6,0.9012619126245589,0.03347709974655175,0.9726344980014735,0.8413913543618027
AT2G02240,Candidate,"[9, 10]",19,8,11,0.884489265612544,0.02964844512335051,0.9602324435232594,0.8414154632059173
AT2G02370,Candidate,"[4, 2]",6,6,0,0.8774148486752478,0.02765731205880626,0.9344142373545625,0.8526259202118691
AT2G02390,Candidate,"[8, 4]",12,12,0,0.8951400350072977,0.031991083013764805,0.948220503256032,0.8541823013383247
AT2G02400,Candidate,"[5, 4]",9,9,0,0.8868949716999335,0.03199302967399291,0.9448929505008695,0.8414874284710222
AT2G02410,Candidate,"[2, 0]",2,2,0,0.8749427735083404,0.001320408865476852,0.8762631823738172,0.8736223646428635
AT2G02450,Candidate,"[11, 13]",24,23,1,0.8929133746418044,0.030463087053153266,0.9439707962268933,0.84464724873083
AT2G02470,Candidate,"[8, 4]",12,12,0,0.8817488827423575,0.02897443035677072,0.9551183107175168,0.8402011511839748
AT2G02480,Candidate,"[9, 15]",24,19,5,0.9137771632170536,0.032155124336437954,0.9680085963392087,0.845732452332073
AT2G02500,Candidate,"[11, 12]",23,17,6,0.8874712947893927,0.038400774988863635,0.9624792204378783,0.8408958443279999
AT2G02510,Candidate,"[2, 3]",5,5,0,0.8693010858664987,0.009350419730037066,0.8876885352879423,0.862548296967459
AT2G02540,Candidate,"[7, 8]",15,9,6,0.8692322292221639,0.02050855492290225,0.9049015857345668,0.8405500945655283
AT2G02560,Candidate,"[0, 1]",1,1,0,0.9005936097307813,0.0,0.9005936097307813,0.9005936097307813
AT2G02570,Candidate,"[1, 3]",4,4,0,0.8963135505502323,0.028853435756320423,0.9347523757359489,0.8574132860289104
AT2G02590,Candidate,"[11, 14]",25,21,4,0.9013753707464225,0.034019210464165665,0.9723445984141842,0.8481348764916572
AT2G02710,Candidate,"[6, 1]",7,7,0,0.8892287863566721,0.037335730318432084,0.9463413678053518,0.8459517078709643
AT2G02730,Candidate,"[0, 1]",1,1,0,0.8482283593076172,0.0,0.8482283593076172,0.8482283593076172
AT2G02740,Candidate,"[9, 10]",19,14,5,0.8963028259019625,0.027715485901047495,0.9646850553845391,0.8635870136092707
AT2G02780,Candidate,"[8, 7]",15,14,1,0.8825862711366965,0.025881003793986716,0.9329870545966005,0.8456400589023675
AT2G02790,Candidate,"[5, 2]",7,6,1,0.8758413589646894,0.029860264778931576,0.9380081874308935,0.8457244589531903
AT2G02800,Candidate,"[7, 2]",9,8,1,0.879137895516881,0.028590726333253044,0.9520910010575241,0.8496815334913618
AT2G02810,Candidate,"[1, 1]",2,2,0,0.8754196882445615,0.005952443141265029,0.8813721313858265,0.8694672451032964
AT2G02820,Candidate,"[1, 2]",3,0,3,0.8669912129828575,0.01574894094089384,0.8892517562980773,0.8552325548016319
AT2G02850,Candidate,"[3, 2]",5,5,0,0.8792988541582248,0.02012909224354303,0.907557267452506,0.8464418016845197
AT2G02860,Candidate,"[6, 7]",13,6,7,0.8846522669709327,0.02807847670454853,0.9309073929504865,0.8416976153233108
AT2G02870,Candidate,"[1, 2]",3,3,0,0.9085467419596515,0.0203076765262981,0.9358006910920726,0.8870763445844443
AT2G02880,Candidate,"[1, 2]",3,3,0,0.8701387535828933,0.02169234155005931,0.8982147037163019,0.8453936644808193
AT2G02910,Candidate,"[3, 3]",6,6,0,0.8745410149555886,0.022784087582348685,0.9142783276137185,0.8514216018058312
