ID_REF	#SpNeighbors	Score	#Cliques	#MaximalClique	MinDistance	AvgDistance	MaxDistance	Specific Genes
AT5G09830	16	22	11	3	0.03010464602500211	0.053933218332798016	0.06838792857000009	AT1G10430,AT1G18080,AT1G22770,AT1G30040,AT1G55870,AT1G69260,AT1G72770,AT2G21660,AT2G31660,AT3G05120,AT3G11240,AT3G47620,AT3G54810,AT3G63010,AT4G34390,AT5G03280
AT5G11010	16	22	11	3	0.03063650978930208	0.047350725489936345	0.06654863047926952	AT1G10430,AT1G13740,AT1G15550,AT1G30040,AT1G69260,AT2G26300,AT2G30250,AT2G38050,AT3G05120,AT3G11410,AT3G51920,AT3G54810,AT5G05700,AT5G20910,AT5G51810,AT5G57050
AT4G24660	16	22	11	3	0.030790940352438064	0.0527522633802036	0.06576011674203322	AT1G09570,AT1G13740,AT1G18080,AT1G31930,AT1G48630,AT2G23460,AT2G25490,AT2G29090,AT2G31660,AT2G38050,AT5G03280,AT5G05700,AT5G20910,AT5G48870,AT5G51760,AT5G57050
AT1G24560	16	22	11	3	0.032524513071131834	0.055130640580064665	0.06839541239648372	AT1G10430,AT1G13740,AT1G15550,AT1G48630,AT1G54160,AT2G25490,AT2G38050,AT2G41430,AT3G54810,AT3G59220,AT3G63010,AT4G25420,AT5G02310,AT5G05700,AT5G40280,AT5G51760
AT1G08700	16	22	11	3	0.0325300149026874	0.05161321681466091	0.06424212677229603	AT1G18080,AT1G22770,AT1G30040,AT1G55870,AT2G21660,AT2G23460,AT2G25490,AT2G41430,AT3G11240,AT3G51920,AT3G59220,AT3G63010,AT5G02310,AT5G20910,AT5G40280,AT5G48870
AT1G61990	16	22	11	3	0.03272385783951583	0.05098377693898721	0.0684485553678422	AT1G10430,AT1G30040,AT1G54160,AT1G80340,AT2G25490,AT2G30250,AT3G11410,AT3G54810,AT5G05700,AT5G20910,AT5G25350,AT5G25900,AT5G40280,AT5G44200,AT5G51760,AT5G51810
AT3G07980	16	22	11	3	0.03294619992227034	0.05172130055352267	0.06782298537087916	AT1G13740,AT1G18080,AT1G72770,AT2G25490,AT2G26300,AT2G30250,AT3G05120,AT3G11240,AT3G47620,AT3G51920,AT5G03280,AT5G05700,AT5G25350,AT5G40280,AT5G48870,AT5G51810
AT3G09230	16	22	11	3	0.0352891033067256	0.05556225115841111	0.06855685821299587	AT1G10430,AT1G13740,AT1G31930,AT1G48630,AT1G54160,AT1G69260,AT2G21660,AT2G38050,AT3G11410,AT3G59220,AT3G63010,AT4G25420,AT5G03280,AT5G25350,AT5G40280,AT5G57050
AT3G56210	16	22	11	3	0.03547976633562647	0.051050614309260486	0.0683066045871392	AT1G10430,AT1G13740,AT1G22770,AT1G30040,AT1G69260,AT2G26300,AT2G30250,AT2G31660,AT2G38050,AT2G41430,AT3G54810,AT3G59220,AT5G25900,AT5G48870,AT5G51760,AT5G57050
AT3G57350	16	22	11	3	0.03633895337206404	0.05361669026332116	0.06888721924216679	AT1G09570,AT1G30040,AT1G31930,AT1G48630,AT1G55870,AT1G79460,AT2G25490,AT2G29090,AT2G30250,AT2G31660,AT3G11410,AT3G47620,AT3G51920,AT5G13530,AT5G25350,AT5G40280
AT1G19480	16	22	11	3	0.040646687550864306	0.055136048974226415	0.0674944965000263	AT1G22770,AT1G31930,AT1G48630,AT1G72770,AT2G31660,AT2G38050,AT2G41430,AT3G11410,AT3G51920,AT4G18130,AT5G02310,AT5G05700,AT5G20910,AT5G25900,AT5G51810,AT5G57050
AT1G71800	16	22	10	4	0.015527178267102319	0.05159461239050357	0.0680665352056691	AT1G22770,AT1G72770,AT1G79460,AT2G23460,AT2G25490,AT2G30250,AT2G31660,AT2G38050,AT3G54810,AT3G59220,AT4G18130,AT5G13530,AT5G20910,AT5G25350,AT5G40280,AT5G44200
