ID_REF	#SpNeighbors	Score	#Cliques	#MaximalClique	MinDistance	AvgDistance	MaxDistance	Specific Genes
AT3G52060	14	10	5	3	0.03478154444355912	0.05476288137837435	0.06482108442431227	AT1G48270,AT2G01830,AT2G20180,AT2G28350,AT2G38310,AT3G03450,AT3G11540,AT3G62090,AT4G01026,AT4G25700,AT4G26070,AT5G45860,AT5G53160,AT5G60410
AT4G37590	14	10	5	3	0.03479079745454892	0.055615992553166925	0.0672026580047114	AT1G15100,AT1G48270,AT2G04240,AT2G38310,AT2G43790,AT2G46830,AT3G03450,AT3G24220,AT4G09570,AT4G26070,AT5G05440,AT5G45830,AT5G46790,AT5G52570
AT5G08490	14	10	5	3	0.03498985997750461	0.0549455176360661	0.06812589473483545	AT1G52340,AT2G32460,AT2G38310,AT2G43790,AT2G46830,AT3G03450,AT3G04870,AT3G50500,AT3G62090,AT4G25700,AT4G26070,AT4G33950,AT5G20960,AT5G35750
AT1G61960	14	10	5	3	0.03510743589811956	0.05288594642538611	0.06457524645640994	AT1G48270,AT1G66350,AT1G78390,AT2G04240,AT2G38310,AT2G46830,AT3G03450,AT3G11540,AT3G50500,AT3G51880,AT4G09570,AT5G52570,AT5G60410,AT5G67030
AT4G17895	14	10	5	3	0.03512713972929847	0.052447853635427755	0.06722893974169032	AT1G01360,AT1G66350,AT2G33610,AT2G46830,AT3G03450,AT3G20770,AT3G51880,AT4G25700,AT4G26070,AT4G33950,AT5G20960,AT5G46790,AT5G57390,AT5G60410
AT1G59830	14	10	5	3	0.03525447425706884	0.05300802413633291	0.0679778377426233	AT1G31970,AT2G27300,AT2G40220,AT3G20770,AT3G24650,AT3G51770,AT3G62090,AT3G63520,AT4G11110,AT4G25700,AT4G33950,AT5G17490,AT5G53160,AT5G63320
AT3G19508	14	10	5	3	0.035257371702847276	0.05552519594767298	0.06680364774602265	AT1G01360,AT1G03790,AT1G14920,AT1G27320,AT1G31970,AT2G01570,AT2G44950,AT2G46830,AT3G20770,AT3G50500,AT4G09570,AT4G36930,AT5G20960,AT5G53160
AT5G47720	14	10	5	3	0.035503830284951965	0.05421086408386557	0.06529811868755198	AT1G01060,AT1G03790,AT1G66350,AT2G04240,AT2G40330,AT3G11540,AT3G51880,AT5G05440,AT5G06100,AT5G45830,AT5G45860,AT5G46790,AT5G63320,AT5G66880
AT5G55760	14	10	5	3	0.035991930683029236	0.053793751754957646	0.06701089823391822	AT1G01360,AT1G03790,AT1G14920,AT2G01830,AT2G04240,AT2G27300,AT2G28350,AT3G03450,AT3G20770,AT3G50500,AT4G25700,AT4G33950,AT5G52570,AT5G66880
AT3G10690	14	10	5	3	0.03646371579467503	0.055078909806926125	0.06806062989575344	AT1G01060,AT1G03790,AT1G15100,AT1G27320,AT2G01570,AT2G04240,AT2G32460,AT2G43790,AT3G20770,AT3G51880,AT3G62090,AT4G18620,AT4G36930,AT5G66880
AT5G58375	14	10	5	3	0.036478425532535635	0.050730326819595495	0.0670419977873525	AT1G14920,AT1G15100,AT1G48270,AT1G52340,AT1G66350,AT2G20180,AT2G32460,AT2G46830,AT3G04870,AT3G20770,AT4G01026,AT4G36930,AT5G08620,AT5G67030
AT3G02340	14	10	5	3	0.03649445790861327	0.05543612765015766	0.06804541640771083	AT1G15100,AT2G04240,AT2G28350,AT2G36270,AT2G40220,AT2G43790,AT2G46830,AT3G20770,AT3G63520,AT4G26070,AT5G35750,AT5G45860,AT5G60410,AT5G63320
AT5G04110	14	10	5	3	0.037392179844954784	0.05446273636040128	0.067742308267323	AT1G16540,AT2G26040,AT2G33610,AT2G36270,AT2G40220,AT3G63520,AT4G01026,AT4G18620,AT4G26070,AT5G17490,AT5G37260,AT5G45860,AT5G46790,AT5G67030
