ID_REF,log2_RNA_3H,log2_RNA_15H,log2_RNA_24H
AT1G01910,-0.9770775195718778,-0.3346522267007411,-1.1443025709065116
AT1G01920,-1.009767863878899,-0.4261484815139211,-0.3891068759396257
AT1G01930,0.2874524408901198,-0.6495928264605069,-0.2162039654718352
AT1G01940,-0.3642237136904233,-0.2273623357693456,-0.8802816857170218
AT1G01950,-1.5817536822381395,-0.3272233655982145,-0.7540997223471669
AT1G01960,-1.5522205839999774,-0.0221000883337951,0.0283475696298951
AT1G01970,0.9523011476460876,0.1809809887016096,0.3615993209979783
AT1G01990,0.0792182655362809,-0.0611593871712742,-0.0089823994561032
AT1G02000,-1.9721170542128408,-1.3161454133340509,-2.234633343572715
AT1G02010,-0.8514357297294338,-0.0302706284088492,-0.5263384148561766
AT1G02020,0.2573662740669681,0.1011598576073556,0.1288556190193545
AT1G02050,-0.9692799885645386,-0.2828631705819317,-0.0659856945005981
AT1G02060,-1.517404178716836,-0.3593056563624519,0.5668801514138604
AT1G02080,-0.3553673087347645,0.156914206239493,0.2926655832861452
AT1G02090,0.2724657061849404,0.461569960303442,-0.3225452293562912
AT1G02100,-1.2066731787105809,-0.3406326861280404,-0.1767671619725132
AT1G02110,-1.840242778622184,-0.02184788742172,-0.1278262427037894
AT1G02120,0.1261913712637782,-0.0664223171367557,-0.0150481329388746
AT1G02130,-1.12857992831664,-0.324199031924392,-0.8452603373553146
