ID_REF,log2_D/G_6h_DF2,log2_D/G_16h_DF2,log2_D/G_24h_DF2,log2_RNA_3H_DF3,log2_RNA_15H_DF3,log2_RNA_24H_DF3,log2_D/G_15h_DF5,log2_D/G_24h_DF5,log2_D/G_6h_DF6,log2_D/G_16h_DF6,log2_D/G_24h_DF6
AT1G01120,1.8216627587414875,-0.8239187669320527,-1.4610479027419194,0.2875301477036363,-0.7930549340332198,-4.14104462219703,0.0181159724363801,-0.6450986210033798,-1.7601216383020486,-3.046532920771868,-2.677519371844836
AT1G01130,-0.4069179355341631,-0.7147254928220635,-1.6002727250775457,-2.219532738700614,-1.846669188104625,-4.34826698396801,0.1043832417937241,-0.224235752105018,0.1523703783352438,-0.6357912820632101,-1.5267478867758604
AT1G01140,-0.2901567474426606,-2.018317443051918,-2.132183867827698,-4.4024676830891485,-2.3627567758822563,-2.8310920717479617,0.70239482235086,-1.1443281395262404,-0.3929593338197791,-1.6716568175120627,-1.9343974537946789
AT1G01160,0.0853614089186139,0.5454243170158806,1.6602843954411286,0.2655387936833393,-0.30224494835225,-0.2660275868207511,-0.0601205098294199,0.3045404338603203,0.0822509465116471,0.1126909326259887,0.6230666945228519
AT1G01170,0.0585744683703286,0.8360922232454606,1.5671751945027184,1.5381138493777582,0.1974973323699793,0.2479004908773495,-0.1439590612441501,0.2757745553047,-0.0753612533555707,0.0790030047885831,0.5597725654051467
AT1G01180,0.2119068778975527,1.189002499248808,0.2837574679249553,1.4383963335412586,0.6298267971444661,0.006039957758541,1.56500136357009,0.8378677933838802,-0.4588148256353868,-0.5800684493662892,-0.0303631691774621
AT1G01200,-0.2375224990482083,-3.0376049536958147,-2.59343218981724,-2.29026569993924,-0.9730127225457046,-2.9451761849736764,0.07858773171942,-0.3983626112735089,-0.2860942142584666,-0.105493128847314,-1.554402050705294
AT1G01210,-0.0774535708551107,0.0416979184900027,0.5247344454895961,-1.173567839902116,-0.4243791276485487,-0.7995928867705234,-0.83940262658062,-0.6619242573170505,0.1597264102557822,0.6210264513540418,0.5778585517603685
AT1G01220,-0.0258491023564241,-0.2234945754893495,-0.8274638868083956,-2.072293707611404,-0.3802571274822836,-1.2284815868588328,0.0012097652180101,0.1597653215132696,0.3219280948873626,0.5678293509179639,-0.4270578499031043
AT1G01225,-0.1027502434077827,-1.540030649917686,-2.5676845092893203,-0.8523960228514883,-1.6555975340034446,-1.3193974464266258,0.9844160858303318,-0.177391649312279,-0.6964504344274923,0.0693737030406619,-1.911839811580252
AT1G01230,0.0704458000815209,0.5556676522181889,1.370401267814408,0.82335053754787,0.2112248348302241,-0.158391131625016,0.35841481257932,0.6010854101063101,0.1221612950416622,0.1444614986803438,0.5262917973887522
AT1G01240,0.2724001288646167,1.1697890435499656,3.886865790753204,1.7906560363759116,-0.2049700129355624,0.4850859921211334,0.6668031569253596,1.1410139125629195,-0.1050232717243724,-0.2009175172911331,0.5916473229602225
AT1G01250,0.979373349410042,1.1466470597943748,6.176588731723324,1.1775358795362827,0.6457071326054765,0.8738383935855567,-0.0903915137742001,2.00442475701971,-0.1732367101722004,0.8395174238108131,1.5273058740928014
AT1G01260,0.372850604885415,0.3709061091861082,1.5033758042432102,-0.4140202345173329,-0.3572533834068082,-0.2626651035831247,0.7125957904138902,0.3083995258800199,-0.5931228338054054,-0.5640269939811535,-0.4493456916503007
AT1G01290,0.0654314356064083,-0.3095503508020746,0.0541603242394326,-2.087503374721855,-0.4348903614023007,-0.8380004899596504,-0.79417146113635,-0.4954243656642496,0.6215016087780495,0.2667522456578148,-0.0290925968560324
AT1G01300,0.1044322980788093,-0.862140114384844,-1.421542346388328,-6.403350028051404,-1.060363419831224,-1.4846424999143315,-0.7112870986450304,-1.4857967466729995,1.3323716035430675,0.6437663712778208,-1.1557238842923891
AT1G01310,1.2511550204739814,0.6749046260339545,-0.047528370082586,-0.1521670479895123,-0.5316389666170221,3.118665826117673,0.046516447041293,0.1262936429357068,1.2713592704847254,0.6615837823240687,-0.7027595370054435
AT1G01320,-0.2577904822032173,-0.8194772484502594,-0.9024390215098406,-3.706208861105921,-0.457573617683112,-1.3035482873893045,-1.62896557556373,-0.2714326875616101,0.1963766097672166,0.1956034720993485,-0.5049870814234022
AT1G01340,-0.0797977011781857,-0.34895406287076,-0.8113202378311042,0.3269014131481371,-0.153827664476938,-0.3316261058249105,1.2459081297591,1.5954981391107517,-0.2942256774783346,-1.0891479047561616,-0.328361528250191
AT1G01350,-0.0307081878071179,0.0577370112803694,0.307882610549013,0.2010634394234768,-0.6138426108985247,-0.5891483973790483,0.62423270405559,0.2919877459837996,-0.5127811898918522,-0.4682318299921674,-0.5557967061959725
AT1G01355,0.1663435611157283,0.7437172105939278,3.016153671046653,4.629930882338189,1.1992034916567986,1.223304222388892,0.9683919961867696,2.0194284458147385,-0.0611543059488554,-0.2345671352825501,0.873689156259641
AT1G01360,0.0609446001064147,0.4917546625261439,1.0513406550916329,0.6101452379912534,-0.1738019468992359,0.0560099157708061,0.9235649848170402,0.6514903247781404,-0.1930604672661272,0.0085432349891157,0.6712980230436483
