ID_REF,log2_D/G_15h,log2_D/G_24h
AT1G02180,-0.454943540744315,-0.97982900620183
AT1G02230,3.67571768099972,2.42807721831816
AT1G02260,0.1903313971762604,0.42317724135579
AT1G02270,0.33140293214658,0.1729951474696002
AT1G02280,-0.4951886209631705,-0.7348112132883198
AT1G02290,-0.6519438619315,0.2003155312250699
AT1G02300,-0.4650964001407696,-0.18706802017662
AT1G02305,-0.3228504951311902,-0.1154389158240204
AT1G02310,3.22339064068036,1.6189269015632048
AT1G02330,0.3682337379856006,-0.1007642004728301
AT1G02370,-0.7526199969902903,0.2658626416498607
AT1G02380,1.37389666944234,1.47666780883494
AT1G02390,-0.2102176255601988,-0.5868383592733921
AT1G02405,0.8508081811657299,-0.41254587962877
AT1G02410,0.8950903007087297,0.2587312796372805
AT1G02420,-0.1044077613068702,-0.21461476151923
AT1G02450,2.0032394113098158,0.2263032346990747
AT1G02475,0.3632518038585202,-0.1759627249127403
AT1G02500,0.30988869910096,0.4804687538602898
AT1G02520,-0.2967755759748498,0.5511213924233697
AT1G02560,-0.5135907049814302,-0.5634645672711207
AT1G02610,1.3685129470153,2.226237752334363
AT1G02640,-1.1744999873065098,-2.18273284248946
AT1G02650,0.8674475719663208,0.1307156216427761
AT1G02660,1.4703249431654604,0.9692816064792004
AT1G02670,0.9058176551038508,0.583940902778492
AT1G02680,0.0597112608714496,0.3184718861841801
AT1G02690,-0.8035761917910602,-0.0274541044488307
AT1G02700,0.2844408560653501,0.91443813317838
AT1G02720,-0.2882967653538101,-0.23983739150571
